index,Category,Amount,
0,Set,647.62,
1,kurta,406.0,
2,kurta,329.0,
3,Western Dress,753.33,
4,Top,574.0,
5,Set,824.0,
6,Set,653.0,
7,kurta,399.0,
8,Set,,
9,kurta,363.0,
10,kurta,685.0,
11,kurta,364.0,
12,kurta,399.0,
13,Set,657.0,
14,Set,771.0,
15,kurta,544.0,
16,kurta,329.0,
17,kurta,399.0,
18,kurta,458.0,
19,Set,886.0,
20,kurta,517.0,
21,Set,666.0,
22,kurta,376.0,
23,Set,570.48,
24,kurta,499.0,
25,Set,582.0,
26,kurta,299.0,
27,kurta,459.0,
28,kurta,399.0,
29,kurta,,
30,Western Dress,791.0,
31,kurta,499.0,
32,Set,1233.0,
33,kurta,517.0,
34,kurta,376.0,
35,kurta,499.0,
36,Set,666.0,
37,kurta,487.0,
38,kurta,368.0,
39,kurta,399.0,
40,Ethnic Dress,699.0,
41,Western Dress,885.0,
42,kurta,424.0,
43,Set,1126.0,
44,Set,788.0,
45,Set,759.0,
46,Set,1146.0,
47,Top,665.0,
48,kurta,429.0,
49,kurta,399.0,
50,Set,848.0,
51,Set,654.0,
52,Set,1033.0,
53,kurta,390.0,
54,Top,493.0,
55,Western Dress,721.0,
56,Set,597.0,
57,kurta,399.0,
58,Set,888.0,
59,kurta,353.0,
60,Set,599.0,
61,kurta,518.0,
62,kurta,295.0,
63,Set,852.0,
64,Set,824.0,
65,kurta,,
66,Set,909.0,
67,Top,432.0,
68,Set,545.0,
69,Set,1146.0,
70,kurta,696.0,
71,kurta,432.0,
72,Set,631.0,
73,kurta,316.0,
74,kurta,362.0,
75,kurta,329.0,
76,kurta,399.0,
77,Set,751.0,
78,Western Dress,791.0,
79,Set,684.0,
80,Set,1281.0,
81,Set,1186.0,
82,kurta,499.0,
83,Set,1105.36,
84,kurta,,
85,Bottom,377.0,
86,Western Dress,744.0,
87,Western Dress,744.0,
88,Western Dress,859.0,
89,kurta,487.0,
90,Western Dress,825.0,
91,Set,680.0,
92,kurta,725.0,
93,Set,696.0,
94,kurta,499.0,
95,kurta,,
96,Set,696.0,
97,kurta,406.0,
98,Set,852.0,
99,kurta,399.0,
100,kurta,432.0,
101,Set,,
102,Set,1338.0,
103,Western Dress,472.0,
104,Set,788.0,
105,Set,832.0,
106,kurta,399.0,
107,Set,599.0,
108,Set,692.0,
109,Top,518.0,
110,Set,788.0,
111,kurta,318.0,
112,Set,597.0,
113,Set,888.0,
114,kurta,406.0,
115,Set,1186.0,
116,Western Dress,791.0,
117,Western Dress,807.0,
118,Western Dress,807.0,
119,kurta,311.0,
120,Top,387.0,
121,kurta,348.0,
122,Set,597.0,
123,Set,549.0,
124,Set,635.0,
125,Set,597.0,
126,Set,790.0,
127,kurta,375.0,
128,Set,1115.0,
129,kurta,579.0,
130,Set,788.0,
131,Set,597.0,
132,Set,,
133,kurta,517.0,
134,kurta,442.0,
135,kurta,399.0,
136,kurta,518.0,
137,kurta,348.0,
138,Set,788.0,
139,Top,,
140,Set,597.0,
141,kurta,696.0,
142,kurta,363.0,
143,kurta,299.0,
144,Western Dress,690.0,
145,Top,574.0,
146,Set,1399.0,
147,Set,999.0,
148,Set,999.0,
149,kurta,487.0,
150,kurta,376.0,
151,Set,1115.0,
152,Set,517.0,
153,Set,1126.0,
154,Western Dress,725.0,
155,kurta,,
